500 3
 -44.5    -76.2    -74.6   
 -64.1    -76      -74.2   
 -74.8    -75.8    -73.8   
 -76.4    -75.5    -73.4   
 -76.7    -75.2    -73     
 -76.6    -74.9    -72.6   
 -76.5    -74.6    -72.2   
 -76.4    -74.2    -71.8   
 -76.2    -73.9    -71.4   
 -76      -73.5    -71     
 -75.8    -73.1    -70.5   
 -75.5    -72.7    -70.1   
 -75.3    -72.3    -69.7   
 -75      -72      -69.2   
 -74.7    -71.6    -68.8   
 -74.3    -71.2    -68.3   
 -74      -70.8    -67.9   
 -73.7    -70.4    -67.4   
 -73.3    -70      -66.9   
 -73      -69.6    -66.3   
 -72.6    -69.2    -65.7   
 -72.3    -68.8    -65     
 -71.9    -68.4    -64.2   
 -71.5    -68      -63.1   
 -71.2    -67.6    -61.5   
 -70.8    -67.1    -58.7   
 -70.5    -66.6    -51.9   
 -70.1    -66.1    -20.7   
 -69.8    -65.5    41.7    
 -69.4    -64.9    24.4    
 -69.1    -64.1    -9.3    
 -68.7    -63.1    -35.1   
 -68.3    -61.6    -54.1   
 -68      -59      -71.9   
 -67.6    -53      -75.9   
 -67.2    -27.1    -76.5   
 -66.8    40.1     -76.6   
 -66.4    27.9     -76.5   
 -65.9    -5.52    -76.4   
 -65.4    -32.4    -76.2   
 -64.8    -51.7    -76     
 -64.1    -70.4    -75.7   
 -63.2    -75.7    -75.4   
 -62      -76.5    -75.1   
 -59.9    -76.6    -74.7   
 -55.6    -76.6    -74.4   
 -40.9    -76.4    -74     
 25.1     -76.3    -73.6   
 36.7     -76.1    -73.2   
 5.89     -75.8    -72.8   
 -24      -75.6    -72.4   
 -44.9    -75.3    -72     
 -64.5    -75      -71.6   
 -74.9    -74.6    -71.1   
 -76.4    -74.3    -70.7   
 -76.7    -73.9    -70.3   
 -76.6    -73.6    -69.9   
 -76.5    -73.2    -69.4   
 -76.4    -72.8    -69     
 -76.2    -72.4    -68.5   
 -76      -72      -68.1   
 -75.8    -71.7    -67.6   
 -75.5    -71.3    -67.1   
 -75.3    -70.9    -66.6   
 -75      -70.5    -66     
 -74.6    -70.1    -65.3   
 -74.3    -69.7    -64.6   
 -74      -69.3    -63.6   
 -73.6    -68.9    -62.3   
 -73.3    -68.5    -60.2   
 -73      -68.1    -55.8   
 -72.6    -67.6    -41     
 -72.2    -67.2    25.7    
 -71.9    -66.7    37      
 -71.5    -66.2    6.45    
 -71.2    -65.7    -23.5   
 -70.8    -65      -44.5   
 -70.5    -64.3    -64.1   
 -70.1    -63.3    -74.8   
 -69.8    -62      -76.4   
 -69.4    -59.7    -76.6   
 -69.1    -54.9    -76.6   
 -68.7    -37      -76.5   
 -68.3    32.7     -76.3   
 -68      34.2     -76.1   
 -67.6    2.4      -75.8   
 -67.2    -26.5    -75.6   
 -66.8    -46.8    -75.3   
 -66.4    -66.4    -74.9   
 -65.9    -75.2    -74.6   
 -65.4    -76.4    -74.2   
 -64.8    -76.6    -73.8   
 -64.1    -76.6    -73.4   
 -63.2    -76.5    -73     
 -61.9    -76.3    -72.6   
 -59.9    -76.1    -72.2   
 -55.5    -75.9    -71.8   
 -40.1    -75.7    -71.5   
 27       -75.4    -71.1   
