9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.230000,-43.733504,0.106103,0.100000
dend1
0.230000,-43.797166,0.106103,0.100000
dend2
0.230000,-43.797166,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 5.58139e-14
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.240000,-42.672471,0.106103,0.100000
dend1
0.240000,-42.736133,0.106103,0.100000
dend2
0.240000,-42.736133,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 5.58139e-14
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.250000,-41.611438,0.106103,0.100000
dend1
0.250000,-41.675100,0.106103,0.100000
dend2
0.250000,-41.675100,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 5.58139e-14
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
9 -62.5 -62.5 125.1 0.106103
10 -62.5 -62.5 125.1 0.106103
11 -62.5 -62.5 187.6 0.106103
12 -7.85398 -125 7.85398 0
13 -125 -7.85398 187.6 0.106103
14 -62.5 -62.5 125.1 0.106103
15 -62.5 -62.5 125.1 0.106103
16 -62.5 -62.5 125.1 0.106103
17 -62.5 -62.5 187.6 0.106103
18 -7.85398 -125 7.85398 0
soma
0.260000,-40.550405,0.106103,0.100000
dend1
0.260000,-40.614067,0.106103,0.100000
dend2
0.260000,-40.614067,0.106103,0.100000
0 0 0 7.85398 0
1 -125 -7.85398 187.6 0.106103
2 -62.5 -62.5 125.1 0.106103
3 -62.5 -62.5 125.1 0.106103
4 -62.5 -62.5 125.1 0.106103
5 -62.5 -62.5 187.6 0.106103
6 -7.85398 -125 23.5619 5.58139e-14
7 -125 -7.85398 187.6 0.106103
8 -62.5 -62.5 125.1 0.106103
